year,species_code,comp_type,length,ae,ae_al,al,base
1999,21720,total,410,4.665976096351143,3.916131883442793,2.1722464590771335,2.9192282796720077
1999,21720,total,420,2.491432754315035,2.2949396114088674,2.0211651875608285,2.5970182499926673
1999,21720,total,430,6.341438530732912,5.728531925064017,3.3522927232129236,4.745076747585124
1999,21720,total,440,5.269842726666495,4.865482561652706,2.543378438836002,3.2234297829578136
1999,21720,total,450,3.9834532800855045,3.423887772118572,2.408778758484591,3.415664593430907
1999,21720,total,460,5.64858849262389,5.187949230476903,3.942077624715225,5.914296770179116
1999,21720,total,470,6.056484528644042,5.640125780779041,4.513341047708483,7.270189247268374
1999,21720,total,480,2.93362363600614,2.6731828587411166,4.168321686255989,6.385309174306006
1999,21720,total,490,0.6331762165696917,0.6577838080230279,3.290291921704052,4.792488190000367
1999,21720,total,500,3.416863195390896,2.5510645466189437,4.038211995790988,7.146355074609384
1999,21720,total,510,2.4683917740649983,2.4844143846539675,6.254714644319464,8.329685986424032
1999,21720,total,520,3.577760780228394,3.218082236215825,4.364648082159598,6.493046891468701
1999,21720,total,530,8.041311352332086,6.8385760461446345,4.466145207564312,6.328125923141233
1999,21720,total,540,2.779587857161034,2.660803107104874,5.060061401411986,7.569536876016634
1999,21720,total,550,3.7498929071326454,3.3284137733227976,4.195335993429338,6.609309391018316
1999,21720,total,560,4.14464193258683,4.081920000380829,2.88381564827527,4.5036856360166855
1999,21720,total,570,4.488279677449198,4.109291546741566,3.878306002188731,6.807183949045819
1999,21720,total,580,0.39798066680964395,0.386456972587327,4.647611810425038,7.313495810868837
1999,21720,total,600,6.008685385952594,4.875195792088058,4.1966022297922905,6.7362752951913105
1999,21720,total,610,7.007488497933921,6.2792860064164975,4.698886902500098,7.257495880177815
1999,21720,total,620,2.48190338580734,2.2515106581197233,4.543517437657965,6.438073279503167
1999,21720,total,630,5.941828213831297,5.675153978202024,4.263810979604207,6.342880383691821
1999,21720,total,640,2.4057202742311254,2.1871026414141403,4.714494103837748,7.043318254296583
1999,21720,total,650,2.656743219412597,2.3940347820722447,2.694980153361937,4.186865913569869
1999,21720,total,660,2.7810946508145027,2.4369798305101695,4.312707083522458,6.906198730740785
