year,species_code,comp_type,length,ae,ae_al,al,base
1990,30060,total,280,21.23459449541398,18.909973095917742,20.088616397146975,27.762827167956374
1990,30060,total,290,18.022916209626075,16.07640918553195,19.275233373546108,27.368063248822402
1990,30060,total,300,26.163011972866094,23.349109825323833,21.139026947846776,29.1917537925422
1990,30060,total,310,28.14117307657774,25.47609161165094,25.943977285370057,35.17509399714859
1990,30060,total,320,40.080719273238564,34.208873984414,22.473229633541404,30.708637160751636
1990,30060,total,330,57.47134065849853,51.541656896598624,36.683949545844065,50.85995919496136
1990,30060,total,340,44.310696979372764,38.62997657921997,26.8164400031062,35.72535316186454
1990,30060,total,350,40.590792111168255,39.41874829669267,32.20650299671102,44.99345004249024
1990,30060,total,360,46.28441140241557,41.1434644567876,31.95931362409513,46.19151238536553
1990,30060,total,370,35.83845244169253,33.37630695170009,28.07582359686559,39.06699780468512
1990,30060,total,380,14.706486306116282,14.021261926461627,28.429715882222563,39.896684846218356
1990,30060,total,390,23.110078651534856,20.442887683115007,20.13348200696628,30.458683083545107
1990,30060,total,400,12.533759345297783,11.757398636175546,20.87403170450696,31.892595164123414
1990,30060,total,410,14.70142496362701,12.654283046919808,12.126730779544548,20.140678503215156
1990,30060,total,420,16.78336730253044,13.724505164333932,12.228190791022842,21.444317647556336
1990,30060,total,430,10.561472836798897,8.464101790260308,6.044227636206287,10.954385552853392
1990,30060,total,450,1.7771712712639218,1.27180607192588,1.393751708042325,2.348660554508664
1993,10110,female,150,1.2658076364475759,1.0766287756383746,1.175189931007267,1.7294867044823197
1993,10110,female,160,1.3346131457805952,1.2210202527913405,1.258061047848163,1.4365074690997597
1993,10110,female,170,2.0456288070476156,1.52355534971886,1.5086474153371414,1.8537257745683888
1993,10110,female,180,3.0401850333641147,2.4321687120739153,5.143977568306326,26.422018348623855
1993,10110,female,200,2.6728359340631256,2.2571333046614988,2.675533725562216,4.177345644356795
1993,10110,female,220,2.8486029719288095,2.1716436699935313,2.2847357397897547,3.398177083738694
1993,10110,female,230,2.9106453061357107,2.5675020357007763,1.8967824821165657,2.416772874172865
1993,10110,female,240,5.146352960367758,4.004244264744249,2.864602350125344,4.084452365370251
1993,10110,female,250,3.172569082770876,2.6590807387452795,2.372075249921319,3.405301249502798
